Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
27,5,6,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,19,2
23,5,2,3,118,13,18,50,237656,99,0,1,1,1,0,0,98,178,31,2
27,5,4,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,19,2
10,5,2,3,235,16,8,32,237656,99,0,3,0,0,0,0,75,178,25,8
22,5,4,3,291,31,12,40,237656,99,0,1,1,1,0,1,73,171,25,8
10,5,4,3,179,22,17,40,237656,99,0,2,2,0,1,0,63,170,22,8
10,5,5,3,330,16,4,28,237656,99,0,2,0,0,0,0,84,182,25,8
23,5,5,3,235,16,8,32,237656,99,0,3,0,0,0,0,75,178,25,2
28,5,5,3,291,31,12,40,237656,99,0,1,1,1,0,1,73,171,25,2
27,5,6,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,19,2
7,5,2,3,361,52,3,28,237656,99,0,1,1,1,0,4,80,172,27,8
23,5,4,3,155,12,14,34,237656,99,0,1,2,1,0,0,95,196,25,2
25,5,6,3,179,22,17,40,237656,99,0,2,2,0,1,0,63,170,22,8
10,5,6,3,155,12,14,34,237656,99,0,1,2,1,0,0,95,196,25,8
7,6,4,3,118,15,24,46,275089,96,0,1,2,1,1,0,75,175,25,8
26,6,6,3,118,10,10,37,275089,96,0,1,0,0,0,0,83,172,28,8
10,6,4,3,118,10,10,37,275089,96,0,1,0,0,0,0,83,172,28,8
22,6,5,3,378,49,11,36,275089,96,0,1,2,0,1,4,65,174,21,8
19,6,6,3,233,51,1,31,275089,96,0,2,1,1,0,8,68,178,21,8
27,6,6,3,179,26,9,30,275089,96,0,3,0,0,0,0,56,171,19,2
13,6,5,3,179,26,9,30,275089,96,0,3,0,0,0,0,56,171,19,2
28,6,5,3,291,31,12,40,275089,96,0,1,1,1,0,1,73,171,25,2
22,6,5,1,233,51,1,31,275089,96,0,2,1,1,0,8,68,178,21,8
8,6,6,1,118,10,10,37,275089,96,0,1,0,0,0,0,83,172,28,2
19,7,6,1,233,51,1,31,264604,93,0,2,1,1,0,8,68,178,21,2
6,7,2,1,228,14,16,58,264604,93,0,1,2,0,0,1,65,172,22,8
23,7,4,1,118,10,10,37,264604,93,0,1,0,0,0,0,83,172,28,2
22,7,4,1,361,52,3,28,264604,93,0,1,1,1,0,4,80,172,27,8
22,7,4,1,225,26,9,28,264604,93,0,1,1,0,0,2,69,169,24,8
14,7,3,1,289,36,13,33,264604,93,0,1,2,1,0,1,90,172,30,8
